luisale,Thu Oct 21 16:32:33 CST 2021:,((10+3)*(6*(7+5))),936
luisale,Thu Oct 21 16:32:48 CST 2021:,((10+3)*(6*(7+5))),936
luisale,Thu Oct 21 16:33:11 CST 2021:,(25*(7*(8+9))+1),2976
luispablo,Thu Oct 21 17:17:37 CST 2021:,((10/2)+(7-(3*2))),6
luispablo,Thu Oct 21 17:17:53 CST 2021:,((25*(7*(8+9))+1)/2),1488
luispablo,Thu Oct 21 17:32:28 CST 2021:,((10/2)+(7-(3*2))),6
luispablo,Thu Oct 21 17:32:35 CST 2021:,((10+3)*(6*(7+5))),936
luispablo,Thu Oct 21 17:32:42 CST 2021:,(25*(7*(8+9))+1),2976
luisale,Thu Oct 21 17:33:26 CST 2021:,5*9,45
luispablo,Thu Oct 21 17:53:14 CST 2021:,45+6,51
,Thu Oct 21 18:02:08 CST 2021:,(25*(7*(8+9))+1),2976
,Thu Oct 21 18:02:54 CST 2021:,28*7/7,28
usuarioprueba,Fri Oct 22 18:51:24 CST 2021:,((10/2)+(7-(3*2))),6
carlos98,Wed Oct 27 10:47:29 CST 2021:,((25*(7*(8+9))+1)/2),1488
carlos98,Wed Oct 27 10:47:54 CST 2021:,((10+3)*(6*(7+5))),936
